Subject_Name,Evaluation_Name,Student_Name,Grade
Art,TP5,Sam Green,9.0
Art,TP8,Sam Green,4.3333335
Art,TP9,Sam Green,4.3333335
Art,TP7,Mona Cyan,4.6666665
Art,TP9,Mona Cyan,4.6666665
Art,TP8,Mona Cyan,7.0
Art,TP10,Jack Orange,4.6666665
Art,TP8,Jack Orange,8.333333
Art,TP5,Jack Orange,5.6666665
Art,TP7,Sam Violet,5.0
Art,TP2,Liam Indigo,5.3333335
Art,TP6,Liam Indigo,4.3333335
Art,TP7,Liam Indigo,2.6666667
Art,TP10,Liam Indigo,2.3333333
Art,TP8,Liam Indigo,7.0
Art,TP6,Sam Johnson,3.3333333
Art,TP10,Quincy Cyan,5.6666665
Art,TP7,Quincy Cyan,6.0
Art,TP8,Ivy White,7.6666665
Art,TP8,Olivia Teal,7.3333335
Art,TP Final,Alice Teal,2.5714285
Art,TP8,Alice Teal,6.0
Art,TP10,Alice Teal,3.6666667
Art,TP2,Bob Cyan,4.6666665
Art,TP9,Bob Cyan,5.0
Art,TP8,Bob Cyan,5.0
Art,TP9,Nick Johnson,4.0
Art,TP7,Nick Johnson,5.0
Art,TP Final,Nick Johnson,3.4285715
Art,TP10,Nick Johnson,0.33333334
Art,TP6,Frank Johnson,5.3333335
Art,TP7,Frank Johnson,7.3333335
Art,TP9,Frank Johnson,4.6666665
Art,TP10,Charlie Magenta,3.0
Art,TP1,Charlie Magenta,6.1904764
Art,TP6,Charlie Magenta,6.3333335
Art,TP7,Liam Brown,8.0
Art,TP8,Liam Brown,4.0
Art,TP5,Liam Brown,5.3333335
Art,TP8,Bob Brown,3.0
Art,TP9,Bob Brown,6.0
Art,TP8,Paul Teal,8.333333
Art,TP10,Paul Teal,3.6666667
Art,TP7,Paul Teal,5.0
Art,TP Final,Paul Teal,6.142857
Art,TP9,Kelly Red,6.0
Art,TP8,Kelly Red,6.3333335
Art,TP8,Mona Brown,7.6666665
Art,TP10,Mona Brown,5.0
Art,TP5,Mona Brown,2.6666667
Art,TP Final,Olivia Blue,5.714286
Art,TP8,Olivia Blue,2.3333333
Art,TP5,Olivia Blue,5.3333335
Art,TP6,Nick Yellow,5.0
Art,TP7,Nick Yellow,4.6666665
Art,TP8,Liam Pink,4.6666665
Art,TP5,Liam Pink,4.3333335
Art,TP6,Eve Indigo,6.3333335
Art,TP5,Eve Indigo,4.6666665
Art,TP10,Quincy Orange,6.6666665
Art,TP9,Quincy Orange,2.3333333
Art,TP8,Quincy Orange,5.3333335
Art,TP6,Quincy Orange,5.6666665
Art,TP6,Hank Pink,5.6666665
Art,TP8,Alice Blue,4.3333335
Art,TP Final,Alice Blue,4.0
Art,TP10,Alice Blue,5.3333335
Art,TP7,Alice Blue,5.6666665
Art,TP9,Alice Blue,4.6666665
Art,TP7,Eve Cyan,2.6666667
Art,TP5,Eve Cyan,6.3333335
Art,TP6,Olivia Gray,3.6666667
Art,TP Final,Olivia Gray,3.0
Art,TP7,Olivia Gray,7.3333335
Art,TP9,Olivia Gray,4.6666665
Art,TP7,Frank Teal,4.3333335
Art,TP Final,Paul Gray,6.571429
Art,TP9,Paul Gray,6.6666665
Art,TP8,Sam Cyan,4.3333335
Art,TP6,Olivia Yellow,4.6666665
Art,TP9,Olivia Yellow,0.6666667
Art,TP5,Olivia Yellow,3.0
Art,TP5,Paul Blue,7.0
Art,TP9,Paul Blue,2.3333333
Art,TP8,Paul Blue,5.3333335
Art,TP6,Paul Blue,8.333333
Art,TP7,Paul Blue,2.6666667
Art,TP10,Dana Johnson,6.0
Art,TP9,Dana Johnson,5.0
Art,TP5,Dana Johnson,5.0
Art,TP10,Alice Indigo,4.0
Art,TP4,Alice Davis,3.875
Art,TP9,Hank Johnson,4.6666665
Art,TP10,Rita Yellow,4.0
Art,TP9,Rita Yellow,5.0
Art,TP6,Frank Yellow,5.6666665
Art,TP9,Frank Yellow,5.0
Art,TP5,Frank Yellow,6.6666665
Art,TP8,Frank Blue,3.3333333
Art,TP6,Frank Blue,7.0
Art,TP9,Frank Blue,2.3333333
Art,TP9,Eve Brown,5.6666665
Art,TP8,Eve Brown,9.0
Art,TP6,Eve Brown,4.6666665
Art,TP5,Nick Black,5.0
Art,TP9,Nick Black,3.0
Art,TP9,Charlie Beige,6.0
Art,TP10,Charlie Beige,2.6666667
Art,TP8,Charlie Beige,1.6666666
Art,TP1,Frank Gray,4.857143
Art,TP7,Frank Gray,5.0
Art,TP1,Olivia Magenta,4.6190476
Art,TP5,Olivia Magenta,3.0
Art,TP7,Olivia Magenta,2.6666667
Art,TP6,Olivia Magenta,7.0
Art,TP1,Jack Yellow,4.285714
Art,TP8,Jack Yellow,4.6666665
Art,TP4,Eve Violet,4.875
Art,TP9,Eve Violet,7.3333335
Art,TP10,Eve Violet,6.3333335
Art,TP10,Eve White,4.0
Art,TP5,Eve White,5.0
Art,TP2,Hank Purple,4.2380953
Art,TP Final,Hank Purple,3.4285715
Art,TP7,Hank Purple,4.6666665
Art,TP1,Hank Purple,4.7619047
Art,TP3,Ivy Yellow,5.321429
Art,TP Final,Ivy Yellow,5.0
Art,TP9,Ivy Yellow,4.3333335
Art,TP8,Ivy Yellow,4.3333335
Art,TP5,Ivy Yellow,3.3333333
Art,TP6,Olivia Black,6.0
Art,TP5,Olivia Black,6.0
Art,TP9,Olivia Black,7.0
Art,TP5,Grace Black,2.6666667
Art,TP6,Grace Black,5.6666665
Art,TP9,Sam Azure,4.0
Art,TP Final,Sam Azure,6.428571
Art,TP6,Sam Azure,1.6666666
Art,TP7,Sam Azure,4.0
Art,TP9,Hank Davis,8.666667
Art,TP6,Hank Davis,5.0
Art,TP7,Hank Davis,3.3333333
Art,TP Final,Ivy Johnson,5.857143
Art,TP6,Liam Violet,4.6666665
Art,TP7,Bob White,6.0
Art,TP5,Bob White,7.0
Art,TP10,Bob White,3.6666667
Art,TP4,Paul Violet,4.5
Art,TP8,Paul Violet,6.6666665
Art,TP5,Paul Violet,4.6666665
Art,TP9,Hank Beige,3.0
Art,TP8,Hank Beige,6.3333335
Art,TP7,Bob Pink,3.3333333
Art,TP8,Bob Pink,7.0
Art,TP6,Olivia Red,2.0
Art,TP7,Olivia Red,4.0
Art,TP7,Grace Magenta,5.6666665
Art,TP9,Sam Indigo,5.0
Art,TP7,Sam Indigo,3.6666667
Art,TP5,Sam Indigo,7.3333335
Art,TP8,Sam Indigo,3.6666667
Art,TP10,Sam Indigo,4.6666665
Art,TP5,Bob Yellow,7.6666665
Art,TP5,Mona White,4.3333335
Art,TP9,Nick Purple,6.3333335
Art,TP5,Nick Purple,4.3333335
